person,age,occupation,workclass,education,hours per week,marital status,race,relationship,sex,capital gain,capital loss,education num,native country,fnlwgt,income
person 1,90,?,?,HS-grad,40,Widowed,White,Not-in-family,Female,0,4356,9,United-States,77053,<=50K
person 3,66,?,?,Some-college,40,Widowed,Black,Unmarried,Female,0,4356,10,United-States,186061,<=50K
person 4,54,Machine-op-inspct,Private,7th-8th,40,Divorced,White,Unmarried,Female,0,3900,4,United-States,140359,<=50K
person 6,34,Other-service,Private,HS-grad,45,Divorced,White,Unmarried,Female,0,3770,9,United-States,216864,<=50K
person 9,68,Prof-specialty,Federal-gov,HS-grad,40,Divorced,White,Not-in-family,Female,0,3683,9,United-States,422013,<=50K
person 10,41,Craft-repair,Private,Some-college,60,Never-married,White,Unmarried,Male,0,3004,10,?,70037,>50K
person 12,38,Prof-specialty,Self-emp-not-inc,Prof-school,45,Never-married,White,Not-in-family,Male,0,2824,15,United-States,164526,>50K
person 13,52,Other-service,Private,Bachelors,20,Widowed,White,Not-in-family,Female,0,2824,13,United-States,129177,>50K
person 14,32,Exec-managerial,Private,Masters,55,Separated,White,Not-in-family,Male,0,2824,14,United-States,136204,>50K
person 15,51,?,?,Doctorate,40,Never-married,White,Not-in-family,Male,0,2824,16,United-States,172175,>50K
person 16,46,Prof-specialty,Private,Prof-school,40,Divorced,White,Not-in-family,Male,0,2824,15,United-States,45363,>50K
person 17,45,Transport-moving,Private,11th,76,Divorced,White,Not-in-family,Male,0,2824,7,United-States,172822,>50K
person 18,57,Exec-managerial,Private,Masters,50,Divorced,White,Not-in-family,Male,0,2824,14,United-States,317847,>50K
person 20,34,Sales,Private,Bachelors,50,Separated,White,Not-in-family,Male,0,2824,13,United-States,203034,>50K
person 21,37,Exec-managerial,Private,Bachelors,40,Never-married,White,Not-in-family,Male,0,2824,13,United-States,188774,>50K
person 22,29,Sales,Private,11th,42,Separated,White,Not-in-family,Female,0,2754,7,United-States,77009,<=50K
person 23,61,Sales,Private,HS-grad,25,Divorced,White,Unmarried,Female,0,2754,9,United-States,29059,<=50K
person 24,51,Transport-moving,Private,Some-college,40,Married-civ-spouse,White,Husband,Male,0,2603,10,United-States,153870,<=50K
person 25,61,?,?,HS-grad,32,Married-civ-spouse,White,Husband,Male,0,2603,9,United-States,135285,<=50K
person 26,21,Craft-repair,Private,Assoc-voc,40,Married-civ-spouse,White,Husband,Male,0,2603,11,United-States,34310,<=50K
person 27,33,Craft-repair,Private,1st-4th,32,Married-civ-spouse,White,Not-in-family,Male,0,2603,2,Mexico,228696,<=50K
person 28,49,Other-service,Private,5th-6th,40,Married-civ-spouse,White,Husband,Male,0,2603,3,Greece,122066,<=50K
person 30,38,Prof-specialty,Private,10th,90,Never-married,White,Not-in-family,Male,0,2559,6,United-States,175360,>50K
person 31,23,Other-service,Private,Some-college,40,Separated,White,Not-in-family,Male,0,2559,10,United-States,44064,>50K
person 32,59,Exec-managerial,Self-emp-inc,10th,50,Widowed,White,Unmarried,Female,0,2559,6,United-States,107287,>50K
person 33,52,Exec-managerial,Private,Prof-school,60,Divorced,White,Not-in-family,Male,0,2559,15,United-States,198863,>50K
person 34,51,Exec-managerial,Private,Bachelors,50,Divorced,White,Not-in-family,Male,0,2559,13,United-States,123011,>50K
person 35,60,Exec-managerial,Self-emp-not-inc,HS-grad,50,Never-married,Black,Not-in-family,Male,0,2559,9,United-States,205246,>50K
person 36,63,Exec-managerial,Federal-gov,Doctorate,60,Divorced,White,Not-in-family,Female,0,2559,16,United-States,39181,>50K
person 37,53,Sales,Private,HS-grad,48,Never-married,White,Not-in-family,Male,0,2559,9,United-States,149650,>50K
person 38,51,Prof-specialty,Private,Prof-school,50,Never-married,White,Not-in-family,Female,0,2559,15,United-States,197163,>50K
person 40,54,Prof-specialty,Private,Masters,40,Divorced,White,Not-in-family,Female,0,2559,14,United-States,161691,>50K
person 41,44,Exec-managerial,Private,Bachelors,50,Divorced,White,Unmarried,Male,0,2547,13,United-States,326232,>50K
person 42,43,Exec-managerial,Private,Masters,40,Divorced,White,Unmarried,Female,0,2547,14,United-States,115806,>50K
person 43,51,Adm-clerical,Private,Some-college,40,Divorced,White,Unmarried,Female,0,2547,10,United-States,115066,>50K
person 44,43,Prof-specialty,Private,Masters,40,Divorced,White,Unmarried,Female,0,2547,14,United-States,289669,>50K
person 45,71,?,?,HS-grad,15,Married-civ-spouse,White,Husband,Male,0,2489,9,United-States,100820,<=50K
person 46,48,Sales,Private,Bachelors,70,Married-spouse-absent,White,Unmarried,Female,0,2472,13,United-States,121253,>50K
person 49,68,?,?,Some-college,40,Married-civ-spouse,White,Wife,Female,0,2457,10,United-States,192052,<=50K
person 50,67,?,?,Some-college,40,Married-civ-spouse,White,Husband,Male,0,2457,10,United-States,174995,<=50K
person 51,40,Prof-specialty,Self-emp-not-inc,Prof-school,45,Never-married,White,Not-in-family,Male,0,2444,15,United-States,335549,>50K
person 52,50,Sales,Private,HS-grad,72,Widowed,White,Not-in-family,Female,0,2444,9,United-States,237729,>50K
person 53,51,Tech-support,State-gov,Assoc-voc,39,Divorced,White,Not-in-family,Male,0,2444,11,United-States,68898,>50K
person 54,42,Exec-managerial,Private,Some-college,40,Never-married,White,Not-in-family,Female,0,2444,10,United-States,107276,>50K
person 55,39,Sales,Private,Masters,45,Never-married,White,Not-in-family,Male,0,2444,14,United-States,141584,>50K
person 56,32,Exec-managerial,Private,Bachelors,50,Never-married,White,Other-relative,Male,0,2444,13,United-States,207668,>50K
person 57,53,Craft-repair,Private,Some-college,45,Separated,White,Not-in-family,Male,0,2444,10,United-States,313243,>50K
person 59,38,Sales,Private,Bachelors,45,Never-married,White,Not-in-family,Female,0,2444,13,United-States,237608,>50K
person 60,33,Craft-repair,Private,Assoc-voc,42,Separated,White,Not-in-family,Male,0,2444,11,United-States,194901,>50K
person 61,43,Craft-repair,Private,Assoc-acdm,70,Divorced,White,Not-in-family,Male,0,2444,12,United-States,155106,>50K
person 62,50,Exec-managerial,Self-emp-inc,11th,40,Never-married,White,Other-relative,Male,0,2444,7,United-States,121441,>50K
person 64,51,Sales,Self-emp-not-inc,Bachelors,40,Married-civ-spouse,Asian-Pac-Islander,Husband,Male,0,2415,13,China,160724,>50K
person 65,41,Prof-specialty,Private,Prof-school,40,Married-civ-spouse,White,Husband,Male,0,2415,15,United-States,132222,>50K
person 66,60,Machine-op-inspct,Self-emp-inc,Assoc-voc,70,Married-civ-spouse,White,Husband,Male,0,2415,11,?,226355,>50K
person 67,37,Exec-managerial,Private,Masters,60,Married-civ-spouse,White,Husband,Male,0,2415,14,United-States,329980,>50K
person 68,55,Prof-specialty,Self-emp-inc,Prof-school,35,Married-civ-spouse,White,Husband,Male,0,2415,15,Greece,124137,>50K
person 69,39,Sales,Self-emp-inc,Bachelors,60,Married-civ-spouse,White,Husband,Male,0,2415,13,United-States,329980,>50K
person 70,42,Prof-specialty,Self-emp-inc,Prof-school,60,Married-civ-spouse,White,Husband,Male,0,2415,15,United-States,187702,>50K
person 72,47,Exec-managerial,Self-emp-not-inc,HS-grad,50,Married-civ-spouse,White,Husband,Male,0,2415,9,United-States,145290,>50K
person 73,41,Prof-specialty,Local-gov,Prof-school,45,Married-civ-spouse,White,Husband,Male,0,2415,15,United-States,297248,>50K
person 74,55,Exec-managerial,Self-emp-inc,Bachelors,50,Married-civ-spouse,White,Husband,Male,0,2415,13,United-States,227856,>50K
person 75,39,Exec-managerial,Private,Masters,65,Married-civ-spouse,White,Wife,Female,0,2415,14,United-States,179731,>50K
person 76,42,Exec-managerial,Private,Bachelors,60,Married-civ-spouse,White,Husband,Male,0,2415,13,United-States,154374,>50K
person 77,41,?,?,Assoc-voc,12,Married-civ-spouse,White,Husband,Male,0,2415,11,United-States,27187,>50K
person 78,46,Sales,Private,Masters,65,Married-civ-spouse,White,Husband,Male,0,2415,14,United-States,326857,>50K
person 80,32,Prof-specialty,Private,Bachelors,48,Married-civ-spouse,White,Husband,Male,0,2415,13,United-States,396745,>50K
person 81,41,Exec-managerial,Self-emp-inc,Some-college,55,Married-civ-spouse,White,Husband,Male,0,2415,10,United-States,151089,>50K
person 82,60,Prof-specialty,Self-emp-inc,Prof-school,80,Married-civ-spouse,White,Husband,Male,0,2415,15,United-States,336188,>50K
person 83,31,Exec-managerial,Private,Masters,70,Married-civ-spouse,White,Husband,Male,0,2415,14,Taiwan,279015,>50K
person 84,58,Farming-fishing,Self-emp-not-inc,Some-college,40,Married-civ-spouse,White,Husband,Male,0,2415,10,United-States,43221,>50K
person 85,37,Sales,Self-emp-inc,Bachelors,50,Married-civ-spouse,White,Husband,Male,0,2415,13,United-States,30529,>50K
person 86,44,Exec-managerial,Self-emp-not-inc,Bachelors,50,Married-civ-spouse,White,Husband,Male,0,2415,13,United-States,201742,>50K
person 87,39,Prof-specialty,Self-emp-not-inc,Prof-school,50,Married-civ-spouse,White,Husband,Male,0,2415,15,?,218490,>50K
person 88,43,Prof-specialty,Federal-gov,Prof-school,55,Married-civ-spouse,Asian-Pac-Islander,Husband,Male,0,2415,15,?,156996,>50K
person 90,44,Prof-specialty,Self-emp-inc,Masters,55,Married-civ-spouse,White,Husband,Male,0,2415,14,United-States,191712,>50K
person 91,39,Prof-specialty,Private,Prof-school,67,Married-civ-spouse,Asian-Pac-Islander,Husband,Male,0,2415,15,India,198654,>50K
person 92,46,Sales,Self-emp-not-inc,Bachelors,40,Married-civ-spouse,White,Husband,Male,0,2415,13,United-States,102308,>50K
person 93,39,Farming-fishing,Private,Some-college,99,Married-civ-spouse,White,Husband,Male,0,2415,10,United-States,348521,>50K
person 94,62,Farming-fishing,Self-emp-inc,Bachelors,60,Married-civ-spouse,White,Husband,Male,0,2415,13,United-States,56248,>50K
person 95,31,Other-service,Self-emp-not-inc,HS-grad,40,Married-civ-spouse,White,Wife,Female,0,2415,9,United-States,252752,>50K
person 98,39,Craft-repair,Self-emp-inc,Assoc-voc,40,Married-civ-spouse,White,Husband,Male,0,2415,11,United-States,143123,>50K
person 99,39,Sales,Private,Prof-school,99,Married-civ-spouse,White,Husband,Male,0,2415,15,United-States,237713,>50K
person 100,59,Prof-specialty,Private,Doctorate,45,Married-civ-spouse,White,Husband,Male,0,2415,16,United-States,81929,>50K
