house,median income,median house value,housing median age,total rooms,total bedrooms,population,households,longitude,latitude,ocean proximity
house 2020,1.3922,49500,23,1731,363,1210,341,-119.79,36.7,INLAND
house 19587,3.2604,87900,30,816,159,531,147,-120.76,37.61,INLAND
house 7267,2.7708,186300,4,1849,577,1529,418,-118.22,33.99,<1H OCEAN
house 9409,6.1275,424400,33,4971,836,1907,795,-122.54,37.89,NEAR BAY
house 9505,2.7232,115400,35,1551,321,857,288,-123.36,39.01,<1H OCEAN
house 17605,5.3955,282300,47,2355,426,961,428,-121.89,37.3,<1H OCEAN
house 9776,3.1222,125500,13,1642,418,1534,388,-121.24,36.33,<1H OCEAN
house 18090,7.0102,500001,23,4507,751,2167,722,-122.06,37.33,<1H OCEAN
house 11487,4.2875,134800,17,2801,649,1473,535,-117.99,33.72,<1H OCEAN
house 4223,3.8393,238200,52,2290,520,1278,485,-118.26,34.12,<1H OCEAN
house 19891,2.4281,72500,18,1435,,657,254,-119.15,36.29,INLAND
house 3162,1.7656,68000,26,1639,352,1222,395,-118.85,35.23,INLAND
house 6404,3.9464,273600,32,3308,718,1803,667,-118.02,34.13,INLAND
house 6238,2.067,167300,31,2017,462,1462,457,-117.96,34.06,<1H OCEAN
house 11282,5.6935,218300,34,2584,408,1233,405,-117.95,33.79,<1H OCEAN
house 5588,3.125,233300,30,3096,757,2048,704,-118.31,33.8,<1H OCEAN
house 14031,2.6742,171400,27,3166,867,1332,817,-117.15,32.75,NEAR OCEAN
house 17491,2.1389,260000,35,796,281,567,257,-119.83,34.44,NEAR OCEAN
house 19766,2.125,63300,21,916,194,451,178,-122.13,40.01,INLAND
house 13587,1.3973,66100,47,2456,611,1653,512,-117.28,34.12,INLAND
house 7426,1.8641,165100,43,1500,419,1726,440,-118.21,33.95,<1H OCEAN
house 11187,6.3214,220800,34,982,148,498,156,-117.96,33.83,<1H OCEAN
house 17907,4.2837,264500,16,5040,1325,3150,1196,-121.96,37.36,<1H OCEAN
house 19916,4.2778,97300,16,2234,357,1150,361,-119.3,36.31,INLAND
house 5848,3.3205,172100,5,5492,1549,2997,1405,-118.3,34.18,<1H OCEAN
house 17176,4.875,334600,18,2297,416,1086,381,-122.47,37.5,NEAR OCEAN
house 17481,2.1471,187500,26,1626,375,1580,359,-119.86,34.38,NEAR OCEAN
house 15566,5.2323,167500,22,2427,390,1099,362,-117.05,33.13,<1H OCEAN
house 16667,5.4287,331600,9,2568,421,1149,398,-120.71,35.27,NEAR OCEAN
house 8434,4.4722,218300,44,938,181,502,171,-118.37,33.92,<1H OCEAN
house 19401,3.0043,156500,18,3453,666,1958,601,-120.95,37.74,INLAND
house 4964,1.7143,132000,34,2305,775,2450,740,-118.28,34.01,<1H OCEAN
house 12474,2.3266,137500,43,3807,952,1484,850,-121.47,38.58,INLAND
house 7771,4.0517,162200,36,1442,271,990,268,-118.09,33.91,<1H OCEAN
house 14477,5.3693,260700,26,1352,202,654,217,-117.21,32.86,NEAR OCEAN
house 18049,6.131,367800,32,2892,496,1193,492,-121.97,37.25,<1H OCEAN
house 12758,3.8068,150400,34,1226,180,359,167,-121.39,38.63,INLAND
house 20429,8.7288,425800,6,8803,1114,3385,1010,-118.83,34.23,<1H OCEAN
house 15409,2.0246,148800,16,3224,729,1036,608,-117.23,33.22,<1H OCEAN
house 12253,2.1103,94400,8,5330,1529,2143,1107,-117,33.74,INLAND
house 14828,1.6389,114300,37,1232,330,1086,330,-117.09,32.66,NEAR OCEAN
house 2754,1.375,70100,25,2322,573,2185,602,-115.49,32.67,INLAND
house 19937,4.9464,115600,12,2172,352,1013,354,-119.33,36.3,INLAND
house 19475,4.3851,117300,16,1499,250,1292,271,-120.97,37.67,INLAND
house 1834,2.9441,200400,39,2686,569,1159,559,-122.3,37.91,NEAR BAY
house 19476,2.9219,114300,17,2434,511,1558,546,-120.96,37.67,INLAND
house 6317,5.2405,302400,21,5992,986,2647,969,-118.02,34.02,<1H OCEAN
house 15645,2.565,225000,52,3457,1021,2286,994,-122.42,37.79,NEAR BAY
house 4193,2.2843,183800,28,1546,465,974,408,-118.23,34.12,<1H OCEAN
