row_id,date,country,store,product,num sold
0,1/1/2015,Finland,KaggleMart,Mug,329
1,1/1/2015,Finland,KaggleMart,Hat,520
2,1/1/2015,Finland,KaggleMart,Sticker,146
3,1/1/2015,Finland,KaggleRama,Mug,572
4,1/1/2015,Finland,KaggleRama,Hat,911
5,1/1/2015,Finland,KaggleRama,Sticker,283
6,1/1/2015,Norway,KaggleMart,Mug,526
7,1/1/2015,Norway,KaggleMart,Hat,906
8,1/1/2015,Norway,KaggleMart,Sticker,250
9,1/1/2015,Norway,KaggleRama,Mug,1005
10,1/1/2015,Norway,KaggleRama,Hat,1461
11,1/1/2015,Norway,KaggleRama,Sticker,395
12,1/1/2015,Sweden,KaggleMart,Mug,440
13,1/1/2015,Sweden,KaggleMart,Hat,624
14,1/1/2015,Sweden,KaggleMart,Sticker,175
15,1/1/2015,Sweden,KaggleRama,Mug,706
16,1/1/2015,Sweden,KaggleRama,Hat,1195
17,1/1/2015,Sweden,KaggleRama,Sticker,324
18,1/2/2015,Finland,KaggleMart,Mug,318
19,1/2/2015,Finland,KaggleMart,Hat,493
20,1/2/2015,Finland,KaggleMart,Sticker,127
21,1/2/2015,Finland,KaggleRama,Mug,544
22,1/2/2015,Finland,KaggleRama,Hat,794
23,1/2/2015,Finland,KaggleRama,Sticker,249
24,1/2/2015,Norway,KaggleMart,Mug,538
25,1/2/2015,Norway,KaggleMart,Hat,845
26,1/2/2015,Norway,KaggleMart,Sticker,237
27,1/2/2015,Norway,KaggleRama,Mug,949
28,1/2/2015,Norway,KaggleRama,Hat,1446
29,1/2/2015,Norway,KaggleRama,Sticker,415
30,1/2/2015,Sweden,KaggleMart,Mug,384
31,1/2/2015,Sweden,KaggleMart,Hat,572
32,1/2/2015,Sweden,KaggleMart,Sticker,155
33,1/2/2015,Sweden,KaggleRama,Mug,653
34,1/2/2015,Sweden,KaggleRama,Hat,986
35,1/2/2015,Sweden,KaggleRama,Sticker,293
36,1/3/2015,Finland,KaggleMart,Mug,360
37,1/3/2015,Finland,KaggleMart,Hat,535
38,1/3/2015,Finland,KaggleMart,Sticker,141
39,1/3/2015,Finland,KaggleRama,Mug,579
40,1/3/2015,Finland,KaggleRama,Hat,843
41,1/3/2015,Finland,KaggleRama,Sticker,265
42,1/3/2015,Norway,KaggleMart,Mug,614
43,1/3/2015,Norway,KaggleMart,Hat,930
44,1/3/2015,Norway,KaggleMart,Sticker,254
