product,date,country,store,num sold
Mug,1/1/2015,Finland,KaggleMart,329
Hat,1/1/2015,Finland,KaggleMart,520
Sticker,1/1/2015,Finland,KaggleMart,146
Mug,1/1/2015,Finland,KaggleRama,572
Hat,1/1/2015,Finland,KaggleRama,911
Sticker,1/1/2015,Finland,KaggleRama,283
Mug,1/1/2015,Norway,KaggleRama,1005
Hat,1/1/2015,Norway,KaggleRama,1461
Sticker,1/1/2015,Norway,KaggleRama,395
Mug,1/1/2015,Sweden,KaggleMart,440
Sticker,1/1/2015,Sweden,KaggleMart,175
Mug,1/1/2015,Sweden,KaggleRama,706
Mug,1/2/2015,Finland,KaggleMart,318
Hat,1/2/2015,Finland,KaggleMart,493
Sticker,1/2/2015,Finland,KaggleMart,127
Mug,1/2/2015,Finland,KaggleRama,544
Hat,1/2/2015,Finland,KaggleRama,794
Sticker,1/2/2015,Finland,KaggleRama,249
Mug,1/2/2015,Norway,KaggleMart,538
Sticker,1/2/2015,Norway,KaggleMart,237
Mug,1/2/2015,Norway,KaggleRama,949
Sticker,1/2/2015,Norway,KaggleRama,415
Mug,1/2/2015,Sweden,KaggleMart,384
Hat,1/2/2015,Sweden,KaggleMart,572
Hat,1/2/2015,Sweden,KaggleRama,986
Mug,1/3/2015,Finland,KaggleMart,360
Sticker,1/3/2015,Finland,KaggleMart,141
Mug,1/3/2015,Finland,KaggleRama,579
Hat,1/3/2015,Finland,KaggleRama,843
Mug,1/3/2015,Norway,KaggleMart,614
Sticker,1/3/2015,Norway,KaggleMart,254
Mug,1/3/2015,Norway,KaggleRama,1029
Hat,1/3/2015,Norway,KaggleRama,1631
Sticker,1/3/2015,Norway,KaggleRama,451
Mug,1/3/2015,Sweden,KaggleMart,420
Hat,1/3/2015,Sweden,KaggleMart,630
Sticker,1/3/2015,Sweden,KaggleMart,173
Mug,1/3/2015,Sweden,KaggleRama,734
Sticker,1/3/2015,Sweden,KaggleRama,319
Mug,1/4/2015,Finland,KaggleMart,332
Hat,1/4/2015,Finland,KaggleMart,544
Hat,1/4/2015,Finland,KaggleRama,873
Sticker,1/4/2015,Finland,KaggleRama,245
Mug,1/4/2015,Norway,KaggleMart,589
Sticker,1/4/2015,Norway,KaggleMart,255
Mug,1/4/2015,Norway,KaggleRama,957
Hat,1/4/2015,Norway,KaggleRama,1540
Sticker,1/4/2015,Norway,KaggleRama,455
Mug,1/4/2015,Sweden,KaggleMart,406
Hat,1/4/2015,Sweden,KaggleMart,697
Mug,1/4/2015,Sweden,KaggleRama,657
Hat,1/4/2015,Sweden,KaggleRama,1112
Sticker,1/4/2015,Sweden,KaggleRama,300
Hat,1/5/2015,Finland,KaggleMart,378
Sticker,1/5/2015,Finland,KaggleMart,102
Mug,1/5/2015,Finland,KaggleRama,423
Hat,1/5/2015,Finland,KaggleRama,668
Sticker,1/5/2015,Finland,KaggleRama,187
Mug,1/5/2015,Norway,KaggleMart,435
Hat,1/5/2015,Norway,KaggleMart,671
Mug,1/5/2015,Norway,KaggleRama,739
Hat,1/5/2015,Norway,KaggleRama,1126
Sticker,1/5/2015,Norway,KaggleRama,310
Mug,1/5/2015,Sweden,KaggleMart,298
Sticker,1/5/2015,Sweden,KaggleMart,127
Mug,1/5/2015,Sweden,KaggleRama,512
Hat,1/5/2015,Sweden,KaggleRama,796
Sticker,1/5/2015,Sweden,KaggleRama,227
Mug,1/6/2015,Finland,KaggleMart,223
Hat,1/6/2015,Finland,KaggleMart,389
Mug,1/6/2015,Finland,KaggleRama,407
Hat,1/6/2015,Finland,KaggleRama,636
Sticker,1/6/2015,Finland,KaggleRama,168
Hat,1/6/2015,Norway,KaggleMart,683
Sticker,1/6/2015,Norway,KaggleMart,181
Mug,1/6/2015,Norway,KaggleRama,681
Hat,1/6/2015,Norway,KaggleRama,1131
Sticker,1/6/2015,Norway,KaggleRama,306
Mug,1/6/2015,Sweden,KaggleMart,256
Hat,1/6/2015,Sweden,KaggleMart,411
Sticker,1/6/2015,Sweden,KaggleMart,111
Mug,1/6/2015,Sweden,KaggleRama,471
Hat,1/6/2015,Sweden,KaggleRama,853
Sticker,1/6/2015,Sweden,KaggleRama,206
Hat,1/7/2015,Finland,KaggleMart,342
Sticker,1/7/2015,Finland,KaggleMart,91
Mug,1/7/2015,Finland,KaggleRama,356
Hat,1/7/2015,Finland,KaggleRama,576
Sticker,1/7/2015,Finland,KaggleRama,173
Mug,1/7/2015,Norway,KaggleMart,371
